tick_ts_ms,symbols_count,bytes_sent_per_client
1762758681797,3,87
1762758681898,3,87
1762758681999,3,87
1762758682100,3,87
1762758682201,3,87
1762758682302,3,87
1762758682403,3,87
1762758682504,3,87
1762758682604,3,87
1762758682706,3,87
1762758682808,3,87
1762758682909,3,87
1762758683010,3,87
1762758683111,3,87
1762758683213,3,87
1762758683313,3,87
1762758683415,3,87
1762758683516,3,87
1762758683617,3,87
1762758683718,3,87
1762758683819,3,87
1762758683920,3,87
1762758684021,3,87
1762758684122,3,87
1762758684223,3,87
1762758684324,3,87
1762758684425,3,87
1762758684526,3,87
1762758684627,3,87
1762758684728,3,87
1762758684829,3,87
1762758684930,3,87
1762758685031,3,87
